Action:incr_cursor_multiline | scroll_top: 0 | scroll_max: 0 | cur_line: 0 | cursor_position: 2 | frame_height: 40
Action:incr_cursor | scroll_top: 0 | scroll_max: 0 | cur_line: 0 | cursor_position: 3 | frame_height: 40
Action:incr_cursor_multiline | scroll_top: 0 | scroll_max: 0 | cur_line: 0 | cursor_position: 3 | frame_height: 40
Action:incr_cursor | scroll_top: 0 | scroll_max: 0 | cur_line: 0 | cursor_position: 4 | frame_height: 40
Action:incr_cursor_multiline | scroll_top: 0 | scroll_max: 0 | cur_line: 0 | cursor_position: 4 | frame_height: 40
Action:incr_cursor | scroll_top: 0 | scroll_max: 0 | cur_line: 0 | cursor_position: 5 | frame_height: 40
Action:incr_cursor_multiline | scroll_top: 0 | scroll_max: 0 | cur_line: 1 | cursor_position: 5 | frame_height: 40
Action:incr_cursor | scroll_top: 0 | scroll_max: 0 | cur_line: 1 | cursor_position: 6 | frame_height: 40
Action:insert_new_line | scroll_top: 0 | scroll_max: 1 | cur_line: 1 | cursor_position: 6 | frame_height: 40
Action:incr_cursor_multiline | scroll_top: 0 | scroll_max: 1 | cur_line: 1 | cursor_position: 6 | frame_height: 40
Action:incr_cursor | scroll_top: 0 | scroll_max: 1 | cur_line: 1 | cursor_position: 7 | frame_height: 40
Action:incr_cursor_multiline | scroll_top: 0 | scroll_max: 1 | cur_line: 1 | cursor_position: 7 | frame_height: 40
Action:incr_cursor | scroll_top: 0 | scroll_max: 1 | cur_line: 1 | cursor_position: 8 | frame_height: 40
Action:incr_cursor_multiline | scroll_top: 0 | scroll_max: 1 | cur_line: 1 | cursor_position: 8 | frame_height: 40
Action:incr_cursor | scroll_top: 0 | scroll_max: 1 | cur_line: 1 | cursor_position: 9 | frame_height: 40
Action:incr_cursor_multiline | scroll_top: 0 | scroll_max: 1 | cur_line: 1 | cursor_position: 9 | frame_height: 40
Action:incr_cursor | scroll_top: 0 | scroll_max: 1 | cur_line: 1 | cursor_position: 10 | frame_height: 40
Action:incr_cursor_multiline | scroll_top: 0 | scroll_max: 1 | cur_line: 1 | cursor_position: 10 | frame_height: 40
Action:incr_cursor | scroll_top: 0 | scroll_max: 1 | cur_line: 1 | cursor_position: 11 | frame_height: 40
Action:incr_cursor_multiline | scroll_top: 0 | scroll_max: 1 | cur_line: 2 | cursor_position: 11 | frame_height: 40
Action:incr_cursor | scroll_top: 0 | scroll_max: 1 | cur_line: 2 | cursor_position: 12 | frame_height: 40
